name,city,source,link,min_salary,max_salary,currency
Уборщик офисных помещений,Минск,HH.RU,https://hh.ru/vacancy/42735413?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,380.0,,бел.руб.
Уборщица/Уборщик,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42739299?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,50000.0,,руб.
Дворник,Химки,HH.RU,https://hh.ru/vacancy/42762937?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,,руб.
Дворник,Самара,HH.RU,https://hh.ru/vacancy/41009712?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Дворник,Уфа,HH.RU,https://hh.ru/vacancy/42167526?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,14000.0,,руб.
Дворник,Ижевск,HH.RU,https://hh.ru/vacancy/42281401?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,14000.0,,руб.
Уборщик служебных помещений,Красноярск,HH.RU,https://hh.ru/vacancy/42880773?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,19500.0,19500.0,руб.
Дворник/уборщик территорий,Химки,HH.RU,https://hh.ru/vacancy/42225081?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,,руб.
Специалист по уборке территории / дворник,Краснообск,HH.RU,https://hh.ru/vacancy/42378018?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,25000.0,,руб.
Дворник,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/41934509?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,32000.0,,руб.
Дворник,Орел,HH.RU,https://hh.ru/vacancy/42855940?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,16000.0,,руб.
